Product_Name,Pricing,Ratings
Apple iPhone SE (Black| 64 GB),Rs.35999,4.5
Apple iPhone SE (White| 64 GB),Rs.35999,4.5
Apple iPhone XR (White| 64 GB),Rs.44999,4.6
Apple iPhone SE (Red| 64 GB),Rs.35999,4.5
Apple iPhone XR (Black| 128 GB),Rs.49999,4.6
Apple iPhone XR (White| 128 GB),Rs.49999,4.6
Apple iPhone XR (Black| 64 GB),Rs.44999,4.6
Apple iPhone SE (Black| 128 GB),Rs.41999,4.5
Apple iPhone 7 (Black| 32 GB),Rs.28999,4.5
Apple iPhone SE (Red| 128 GB),Rs.41999,4.5
Apple iPhone XR ((PRODUCT)RED| 64 GB),Rs.44999,4.6
Apple iPhone SE (White| 128 GB),Rs.41999,4.5
Apple iPhone XR (Blue| 64 GB),Rs.44999,4.6
Apple iPhone XR ((PRODUCT)RED| 128 GB),Rs.49999,4.6
Apple iPhone XR (Coral| 64 GB),Rs.44999,4.6
Apple iPhone XR (Blue| 128 GB),Rs.49999,4.6
Apple iPhone 11 (Black| 64 GB),Rs.66990,4.7
Apple iPhone XR (Coral| 128 GB),Rs.49999,4.6
Apple iPhone 11 (Green| 128 GB),Rs.72990,4.7
Apple iPhone 11 (White| 64 GB),Rs.66990,4.7
Apple iPhone 7 (Silver| 32 GB),Rs.28999,4.5
Apple iPhone 11 (White| 128 GB),Rs.72990,4.7
Apple iPhone 11 (Black| 128 GB),Rs.72990,4.7
Apple iPhone 7 Plus (Black| 32 GB),Rs.36999,4.5
